cuie	siisa	nombre_efector	sigla_tipo_efector	descripcion_tipo_efector	id_provincia	nombre_provincia	id_departamento	nombre_departamento	id_localidad	nombre_localidad	ciudad	codigo_postal	domicilio	rural	cics	sigla_tipo_categorizacion	descripcion_tipo_categorizacion	sigla_dependencia_administrativa	descripcion_dependencia_administrativa	codigo_provincial_efector	dependencia_sanitaria	integrante	compromiso_gestion	numero_compromiso	firmante_compromiso	fecha_suscripcion_compromiso	fecha_inicio_compromiso	fecha_fin_compromiso	pago_indirecto	numero_convenio	firmante_convenio	nombre_tercer_administrador	codigo_tercer_administrador	fecha_suscripcion_convenio	fecha_inicio_convenio	fecha_fin_convenio	priorizado	ppac	perinatal_ac	addenda_perinatal	fecha_addenda_perinatal	categoria_obstretico	categoria_neonatal	nombre_referente	internet	factura_descentralizada	factura_on_line	id_estado	descripcion
E06506	50300842142173	C.S. ARTURO OÑATIVIA	CSA	Centro de salud "A"	06	ENTRE RIOS	084	Paraná	030	Aldea Santa María		3123	DON MIGUEL Y LOS FUNDADORES - ALDEA SANTA MARIA-EDIFICIO DE LA JUNTA DE GOB.	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	S	S	70	BRONDI, JAQUELIN	2013-12-16	2013-12-16	2014-12-16	N								N	N						BRONDI, JAQUELIN	S	S	S	1	Activo
E06507	50300842142219	C.S. ANSELMO JACOB	CSA	Centro de salud "A"	06	ENTRE RIOS	084	Paraná	020	Aldea San Rafael		3116	55 KM DE PARANA  - ALDEA SAN RAFAEL	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	N	N														N	N						LUDI, RICARDO	S	S	S	1	Activo
E06508	50300842142347	C.S. RICARDO PALMA	CSA	Centro de salud "A"	06	ENTRE RIOS	084	Paraná	140	María Grande		3133	MARIA GRANDE 2° SUR	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	S	N		RONCHI, FABIAN	2009-07-29	2009-07-29	2014-07-29	N								N	N						RONCHI, FABIAN	S	S	S	1	Activo
E06510	10300842242031	C.S. DR. ARTURO ILLIA	CSA	Centro de salud "A"	06	ENTRE RIOS	084	Paraná	160	Paraná		3100	COCRANE Y ARTIGAS - B° PARANA V	N	N	SD	Sin especificar	M	Municipal	6	REGIÓN I	S	S	60	HERGENREDER, RAUL 	2013-12-12	2013-12-12	2014-12-12	S		Blanca Ines Osuna	SEC. DE SALUD- MUNICIPIO DE PARANA		2013-12-12	2013-12-12	2014-12-12	N	N						HERGENREDER, RAÚL	S	S	S	1	Activo
E06511	50300842142298	C.S. LUIS A. GIANOTTI	CSA	Centro de salud "A"	06	ENTRE RIOS	084	Paraná	150	Oro Verde		3100	LOS CARDALES 513- BARRIO EL TRIANGULO - ORO VERDE	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	S	S	140	SOLIER, VIVIANA	2013-12-13	2013-12-13	2014-12-13	N								N	N						SOLIER, VIVIANA	S	S	S	1	Activo
E06512	50300842142339	C.S. POLONIO BURGOS	CSA	Centro de salud "A"	06	ENTRE RIOS	084	Paraná	130	Las Tunas 		3111	RUTA 18 KM 81	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	S	N		ALEJANDRO LONDERO	2008-09-01	2008-09-01	2014-09-01	N								N	N						LONDERO, ALEJANDRO	S	S	S	1	Activo
E06513	50300842142371	C.S. SAUCE MONTRULL	CSA	Centro de salud "A"	06	ENTRE RIOS	084	Paraná	210	Sauce Montrull		3118	RUTA 12 KM. 20 - SAUCE MONTRULL	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	S	S	58	LIC. SILVIA NOEMI MEROI	2013-04-10	2013-04-10	2014-04-10	N								N	N						MEROI, SILVIA NOEMÍ	S	S	S	1	Activo
E06516	50300842142294	C.S. LA PICADA	CSA	Centro de salud "A"	06	ENTRE RIOS	084	Paraná	120	La Picada		3118	LA PICADA	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	N	N														N	N						PRADO, ROXANA MARIELA	S	S	S	1	Activo
E06517	50300842142207	C.S. COLONIA NUEVA	CSA	Centro de salud "A"	06	ENTRE RIOS	084	Paraná	010	Aldea María Luisa		3118	DULCERIA - 1ER ENTRADA A LA DERECHA RUTA V COLONIA NUEVA	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	N	N														N	N						DRA.PRADOS ROSANA-	S	S	S	1	Activo
E06518	50300842142379	C.S. TEZANOS PINTOS	CSA	Centro de salud "A"	06	ENTRE RIOS	084	Paraná	260	Tezanos Pinto		3114	TEZANOS PINTOS- AL LADO DE JUNTA DE GOBIERNO A 15 KM DE PARANA	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	N	N														N	N						GIACINTI, PABLO	S	S	S	1	Activo
E06519	50300842142337	C.S. PASO DE LAS PIEDRAS	CSA	Centro de salud "A"	06	ENTRE RIOS	084	Paraná	160	Paraná		3118	A 12 KM DEL PALENQUE  - ESC. 83	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	N	N														N	N						LONDERO, EUGENIO	S	S	S	1	Activo
E06520	50300842142221	C.S. DR. ARMANDO SABAO	CSA	Centro de salud "A"	06	ENTRE RIOS	084	Paraná	010	Aldea María Luisa		3100	LA PIRAGUA	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	S	S	266	Lisandro Anibal Roldan	2013-12-02	2013-12-02	2014-12-02	N								N	N						VIVES SERRA, GERMÁN	S	S	S	1	Activo
E06522	10300212142081	HOSPITAL SAN JOSE	HOS	Hospital	06	ENTRE RIOS	021	Diamante	080	Diamante		3105	PEDRO SERRANO 695	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	S	S	122	CHEMEZ, JULIO IVÁN	2013-07-24	2013-07-24	2014-07-24	N								N	N						AGÜERA, JUAN JOSÉ	S	S	S	1	Activo
E06523	10300212142054	HOSPITAL NTRA. SEÑORA DE LUJÁN	HOS	Hospital	06	ENTRE RIOS	021	Diamante	120	General Ramírez		3164	COLON 152 -RAMIREZ - DIAMANTE	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	S	S	62	STERZER, VIVIANA	2013-08-22	2013-08-22	2014-08-22	N								N	N						STERZER, VIVIANA	S	S	S	1	Activo
E06524	50300212142482	C.S. MAIPU	CSA	Centro de salud "A"	06	ENTRE RIOS	021	Diamante	050	Aldea Spatzenkutter		3101	RURA 11 - ALDEA SPATZENKUTER A  3O KM DE PARANA	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	N	N														N	N						FONTANA, CARLOS	S	S	S	1	Activo
E06525	50300212142489	C.S. PARAGUAY	CSA	Centro de salud "A"	06	ENTRE RIOS	021	Diamante	140	Puerto Las Cuevas		3101	POR RUTA 11 KM. 70 LAS CUEVAS JUNTO A LA COMISARIA  - LAS CUEVAS.	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	N	N														N	N						IGLESIAS, LUIS	S	S	S	1	Activo
E06526	50300212142459	C.S. EVITA	CSA	Centro de salud "A"	06	ENTRE RIOS	021	Diamante	110	General Racedo		3114	RUTA PROVINCIAL 36 A 12 KM. DE CRESPO	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	S	S	262	WAIGEL, GLORIA	2013-12-18	2013-12-18	2014-12-18	N								N	N						FARÍAS, VERÓNICA	S	S	S	1	Activo
E06528	10300702142082	HOSPITAL 9 DE JULIO	HOS	Hospital	06	ENTRE RIOS	070	La Paz	040	La Paz		3190	AVDA. ARTIGAS Nº 2310 -LA PAZ	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	S	S	16	DR. ACUÑA MARIO FABIAN	2013-05-29	2013-05-29	2014-05-29	N								N	S	S	S	2013-08-22	II	II	SATURNINO, ANDRÉS	S	S	S	1	Activo
E06529	10300702142070	HOSPITAL SAN MIGUEL	HOS	Hospital	06	ENTRE RIOS	070	La Paz	010	Bovril		3218	DR.F. GARCIA S/N	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	S	S	33	TOMÉ, FRANCO	2013-02-28	2013-02-28	2014-02-28	N								N	N						NARDEA, GASTÓN	S	S	S	1	Activo
E06530	10300702142075	HOSPITAL SANTA ELENA	HOS	Hospital	06	ENTRE RIOS	070	La Paz	080	Santa Elena		3192	SANTA ELENA	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	S	S	195	CHOTERNASTY, MARINA B.	2013-02-28	2013-02-28	2014-02-28	N								N	N						CHOTERNASKY, MARINA B.	S	S	S	1	Activo
E06531	10300702142037	HOSPITAL ECUADOR	HOS	Hospital	06	ENTRE RIOS	070	La Paz	100	Alcaraz		3132	9 DE JULIO S/N	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	S	S	12	ZAPATA BOUCAU, ANDRÉS	2013-02-28	2013-02-28	2014-02-28	N								N	N						ZAPATA BOUCAU, ANDRÉS	S	S	S	1	Activo
E06533	50300702142218	C.S. ALFREDO ALBACETTI	CSA	Centro de salud "A"	06	ENTRE RIOS	070	La Paz	010	Bovril		3192	PASO QUEBRACHO	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	N	N														N	N						DR. ALASINO	S	S	S	1	Activo
E06535	10301052142041	HOSPITAL DR. FERMIN V. SALABERRY	HOS	Hospital	06	ENTRE RIOS	105	Victoria	060	Victoria		3153	M.O.DE BASUALDO 349	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	S	S	170	CARIDAD, JOSÉ	2013-02-28	2013-02-28	2014-02-28	N								N	S	S	S	2013-09-18	II	II	CARIDAD, JOSÉ DIEGO	S	S	S	1	Activo
E06537	50301052242217	C.S. DR. CARLOS VIVANCO	CSA	Centro de salud "A"	06	ENTRE RIOS	105	Victoria	060	Victoria		3153	44 KM. HOSP. SALABERRY	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	N	N														N	N						DR. CARIDAD JOSE	S	S	S	1	Activo
E06538	50301052142159	C.S. ALEXANDER FLEMING	CSA	Centro de salud "A"	06	ENTRE RIOS	105	Victoria	050	Rincón de Nogoyá		3155	PUERTO ESQUINA	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	N	N														N	N						DRA.SCHNEIDER CRISTINA-	S	S	S	1	Activo
E06540	50301052142179	C.S. SAN ROQUE	CSA	Centro de salud "A"	06	ENTRE RIOS	105	Victoria	060	Victoria		3153	HIPOLITO IRIGOYEN Y YAPEYU	N	N	SD	Sin especificar	M	Municipal	6	REGIÓN I	S	S	172	Maria Castro	2013-10-03	2013-10-03	2014-10-03	S		Ruben Garcilazo	SEC. DE DESARROLLO ECONÓMICO Y SOCIAL- MUNICIPIO DE VICTORIA		2013-10-03	2013-10-03	2014-10-03	N	N						PONCIO, ANDREA SILVINA	S	S	S	1	Activo
E06541	50301052142481	C.S. LUJÁN	CSA	Centro de salud "A"	06	ENTRE RIOS	105	Victoria	060	Victoria		3153	SAN MIGUEL ENTRE VIAMONTE Y CORONEL SUAREZ	N	N	SD	Sin especificar	M	Municipal	6	REGIÓN I	S	S	171	Maria Luisa Sanchez	2013-10-03	2013-10-03	2014-10-03	S		Ruben Garcilazo	SEC. DE DESARROLLO ECONÓMICO Y SOCIAL- MUNICIPIO DE VICTORIA		2013-10-03	2013-10-03	2014-10-03	N	N						PONCIO, ANDREA SILVINA	S	S	S	1	Activo
E06542	50301052142505	C.S. BICENTENARIO	CSA	Centro de salud "A"	06	ENTRE RIOS	105	Victoria	060	Victoria		3153	AVDA REGGIARDO S/N	N	N	SD	Sin especificar	M	Municipal	6	REGIÓN I	S	S	174	Graciela Belizan	2013-10-03	2013-10-03	2014-10-03	S		Ruben Garcilazo	SEC. DE DESARROLLO ECONÓMICO Y SOCIAL- MUNICIPIO DE VICTORIA		2013-10-03	2013-10-03	2014-10-03	N	N						PONCIO, ANDREA SILVINA	S	S	S	1	Activo
E06545	10300772142065	HOSPITAL SAN BLAS	HOS	Hospital	06	ENTRE RIOS	077	Nogoyá	070	Nogoyá		3150	CALLE MENDOZA S/N - NOGOYA	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	S	S	72	CANTABERTA, RICARDO	2013-09-03	2013-09-03	2014-09-03	N								N	N						CANTABERTA, RICARDO ADOLFO	S	S	S	1	Activo
E06546	10300772142078	HOSPITAL SANTA ROSA	HOS	Hospital	06	ENTRE RIOS	077	Nogoyá	060	Lucas González		3158	ISLAS MALVINAS S/N -LUCAS GONZALEZ	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	S	S	13	DR. ASCUA MARCELO	2013-02-28	2013-02-28	2014-02-28	N								N	N						ASCUA, MARCELO JAVIER	S	S	S	1	Activo
E06547	50300772142158	C.S. ALBERT SCHWEITZER	CSA	Centro de salud "A"	06	ENTRE RIOS	077	Nogoyá	070	Nogoyá		3162	DON CRISTOBAL II	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	S	S	289	KRENZ, BELKIS	2013-12-19	2013-12-19	2014-12-19	N								N	N						KRENZ, BELKIS	S	S	S	1	Activo
E06549	50300772142253	C.S. SALVADOR MAZZA	CSA	Centro de salud "A"	06	ENTRE RIOS	077	Nogoyá	040	Febré		3151	GOBERNADOR FEBRE	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	N	N														N	N						DR. CANTABERTA RUBÉN	S	S	S	1	Activo
E06550	50300772142248	C.S. DR. PEDRO CAMET	CSA	Centro de salud "A"	06	ENTRE RIOS	077	Nogoyá	080	XX de Setiembre		3158	LOCAL ESTACION FERROCARRIL 20 DE SEPTIEMBRE	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	S	N		PERALTA, GLADIS MARCELA	2008-03-10	2008-03-10	2014-03-10	N								N	N						PERALTA, GLADYS MARCELA	S	S	S	1	Activo
E06551	50300772142289	C.S. JUSTO J. DE URQUIZA	CSA	Centro de salud "A"	06	ENTRE RIOS	077	Nogoyá	010	Aranguren		3109	BVARD SALDAÑA RETAMAR	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	N	N														N	N						DRA POLDI RIFFEL	S	S	S	1	Activo
E06552	50300772142346	C.S. D' ANGELO	CSA	Centro de salud "A"	06	ENTRE RIOS	077	Nogoyá	070	Nogoyá		3109	RUTA 8 - CRUCESITA 7ª - NOGOYA	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN I	S	N		RIFFEL, POLDY	2011-09-14	2011-09-14	2014-09-14	N								N	N						RIFFEL, POLDY	S	S	S	1	Activo
E06553	50300772142286	C.S. FAR. JUAN H. GHIANO	CSA	Centro de salud "A"	06	ENTRE RIOS	077	Nogoyá	020	Betbeder		3156	SABURLIN Y ECHANIZ - 20 KM. HOSP. J.J. URQUIZA	N	N	SD	Sin especificar	M	Municipal	6	REGIÓN I	S	N														N	N						DR.MARCHE JORGE	S	S	S	1	Activo
E06557	10300422142043	HOSPITAL FRANCISCO RAMIREZ	HOS	Hospital	06	ENTRE RIOS	042	Feliciano	010	San José de Feliciano		3187	SAN MARTIN  676	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	S	S	59	HOYOS, NOEMI DEL CARMEN	2013-02-28	2013-02-28	2014-02-28	N								N	N						HOYOS, NOEMI DEL CARMEN	S	S	S	1	Activo
E06558	              	C.S. DR. R. ARIOSA	CSA	Centro de salud "A"	06	ENTRE RIOS	042	Feliciano	030	La Esmeralda		3187	DISTRITO  BASUALDO	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	S	S	162	Mercedes Saravia	2014-03-25	2014-03-25	2015-03-25	N								N	N						ESPINOSA, AURORA	S	S	S	1	Activo
E06559	              	C.S. RINCON MESA	CSA	Centro de salud "A"	06	ENTRE RIOS	042	Feliciano	010	San José de Feliciano		3187	FELICIANO	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	S	S	312	Mercedes saravia	2014-03-25	2014-03-25	2015-03-25									N	N						DR.COALI LUIS -	S	S	S	1	Activo
E06562	10300352142051	HOSPITAL JUSTO J. DE URQUIZA	HOS	Hospital	06	ENTRE RIOS	035	Federal	030	Federal		3180	HIPOLITO IRIGOYEN Y AGUIRRE - FEDERAL	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	S	S	112	NIEVES, MIGUEL ÁNGEL	2013-07-11	2013-07-11	2014-07-11	N								N	N						NIEVES, MIGUEL ÁNGEL	S	S	S	1	Activo
E06563	10300352142029	HOSPITAL CRISPIN VELAZQUEZ	HOS	Hospital	06	ENTRE RIOS	035	Federal	050	Sauce de Luna		3144	AVDA. RAMIREZ S/N  - SAUCE DE LUNA	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	S	S		ARGENTO, MARÍA INÉS	2013-07-24	2013-07-24	2014-07-24	N								N	N						ARGENTO, MARIA INES	S	S	S	1	Activo
E06564	50300352142204	C.S. COLOMBIA	CSA	Centro de salud "A"	06	ENTRE RIOS	035	Federal	020	El Cimarrón		3188	MOR Y SCHMIT- ALDEA SAN ISIDRO-FEDERAL	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	S	N		ROJO, LUIS	2011-06-01	2011-06-01	2014-06-01	N								N	N						ROJO, LUIS	S	S	S	1	Activo
E06565	50300352142214	C.S. VENTURA DOMINGO CRUCET	CSA	Centro de salud "A"	06	ENTRE RIOS	035	Federal	040	Nueva Vizcaya		3112	ROSA ECKER Y EVA PERON	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	S	S	288	GERMINIANI, OFELIA MARÍA LAURA	2013-07-11	2013-07-11	2014-07-11	N								N	N						GERMINIANI, MARÍA LAURA	S	S	S	1	Activo
E06566	50300352142364	C.S. SANTA LUCIA	CSA	Centro de salud "A"	06	ENTRE RIOS	035	Federal	010	Conscripto Bernardi		3212	RUTA 127 - CAMINO A FEDERAL	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	N	N														N	N						DR.ALLES BOSCH, ANGEL	S	S	S	1	Activo
E06567	50300352142267	C.S. FRANCISCO RAMIREZ	CSA	Centro de salud "A"	06	ENTRE RIOS	035	Federal	010	Conscripto Bernardi		3181	A 4 KM DE LA CAMISARIA DEL CHAÑAR	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	N	N														N	N						DRA. OVIEDO SILVANA	S	S	S	1	Activo
E06572	10300282142077	HOSPITAL SANTA ROSA	HOS	Hospital	06	ENTRE RIOS	028	Federación	010	Chajarí		3228	DR.PLANAS 2285-CP3228 - CHAJARI	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	S	S	178	DR. ORLANDO JESUS ELORDI	2013-05-29	2013-05-29	2014-05-29	N								N	S	S	S	2013-09-18	II	II	LALOSA, MARÍA FERNANDA	S	S	S	1	Activo
E06573	10300282142068	HOSPITAL  SAN JOSÉ	HOS	Hospital	06	ENTRE RIOS	028	Federación	070	Federación		3206	D'ANGELO Nº 35	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	S	S	12	BENITEZ, DANIEL DARÍO	2013-06-03	2013-06-03	2014-06-03	N								N	N						BENÍTEZ, DANIEL DARÍO	S	S	S	1	Activo
E06574	10300282142074	HOSPITAL  SAN VICENTE	HOS	Hospital	06	ENTRE RIOS	028	Federación	090	San Jaime de la Frontera		3185	ALMIRANTE G. BROWN 180 - SAN JAIME DE LA FRONTERA	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	S	S	230	VIDONI, JOSE MARIA	2013-05-07	2013-05-07	2014-05-07	N								N	N						VIDONI, JOSE MARIA	S	S	S	1	Activo
E06575	50300282142436	C.S. COLONIA ARGENTINA	CSA	Centro de salud "A"	06	ENTRE RIOS	028	Federación	040	Colonia La Argentina		3118	CHUBUT ENRE OSINALDE Y LEGUIZAMON	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	N	N														N	N						ALVAREZ, LUIS	S	S	S	1	Activo
E06576	50300282142435	C.S. COLONIA ALEMANA	CSA	Centro de salud "A"	06	ENTRE RIOS	028	Federación	020	Colonia Alemana		3228	POR RUTA 14 A 36 KM.	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	N	N														N	N						DRA.LALOSA Mª FERNANDA	S	S	S	1	Activo
E06577	50300282142361	C.S.  SAN PEDRO	CSA	Centro de salud "A"	06	ENTRE RIOS	028	Federación	100	San Pedro		3272	JUJUY Y MINAGLIO   -  COLONIA SAN PEDRO	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	N	N														N	N						DRA LALOSA Mº FERNANDA	S	S	S	1	Activo
E06578	50300282142503	C.S. SAN RAMON	CSA	Centro de salud "A"	06	ENTRE RIOS	028	Federación	070	Federación		3229	CATAMARCA S/N - 1º CUARTEL - COLONIA SAN RAMON	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	N	N														N	N						DR.BRAVO ALMONACID SANTIAGO-	S	S	S	1	Activo
E06580	50300282142449	VILLA DEL ROSARIO	CSA	Centro de salud "A"	06	ENTRE RIOS	028	Federación	120	Villa del Rosario		3229	TRATADO DEL PILAR N° 334	N	N	SD	Sin especificar	M	Municipal	6	REGIÓN II	S	S	253	FANGI, LUIS RAMÓN	2013-11-02	2013-11-02	2014-11-02	S		CANDARLE, DAMIÁN JAVIER	MUNICIPIO DE VILLA DEL ROSARIO		2009-04-24	2009-04-24	2014-04-24	N	N						FANGI, LUIS RAMÓN	S	S	S	1	Activo
E06585	10300152142040	HOSPITAL FELIPE HERAS	HOS	Hospital	06	ENTRE RIOS	015	Concordia	060	Concordia		3200	ENTRE RIOS 135 -	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	S	S	238	CHIAPPA, BLANCA GRACIELA	2013-06-03	2013-06-03	2014-06-03	N								N	N						VALLEJOS, CARLOS	S	S	S	1	Activo
E06586	12300152142116	HOSPITAL MAT. INFANTIL RAMON CARRILLO	HOS	Hospital	06	ENTRE RIOS	015	Concordia	060	Concordia		3200	SGTO CABRAL E ISTHILART - CONCORDIA	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	S	S	6	ROMERO, PATRICIA	2013-06-03	2013-06-03	2014-06-03	N								N	N						ROMERO, PATRICIA MARCELA	S	S	S	1	Activo
E06587	50300152142194	C.S. BRASIL	CSA	Centro de salud "A"	06	ENTRE RIOS	015	Concordia	130	Pedernal		3203	BARRIO ROCAMORA   -  PEDERNAL	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	S	S	299	DODERO, JORGE	2013-06-03	2013-06-03	2014-06-03	N								N	N						DODERO, JORGE	S	S	S	1	Activo
E06588	50300152142229	C.S. DR. CARLOS CARRAZZONI	CSA	Centro de salud "A"	06	ENTRE RIOS	015	Concordia	110	Nueva Escocia		3201	BARRIO SANTA RITA A 500 M DE LA POLICIA RUTA 14 KM 230-NUEVA ESCOCIA	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	S	S	249	DODORICO, MAURO	2013-06-03	2013-06-03	2014-06-03	N								N	N						FONTANA, GUIDO HECTOR	S	S	S	1	Activo
E06590	50300152142433	C.S. CLODOMIRO LEDESMA	CSA	Centro de salud "A"	06	ENTRE RIOS	015	Concordia	020	Clodomiro Ledesma 		3201	BARRIO POMPEYA	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	N	N														N	N						DRA. MEICHTRY VERÓNICA	S	S	S	1	Activo
E06591	10300882142071	HOSPITAL SAN MIGUEL	HOS	Hospital	06	ENTRE RIOS	088	San Salvador	020	San Salvador		3218	TULIO GONZALEZ 135	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	S	S	15	BERHARDT, HERNAN	2013-02-28	2013-02-28	2014-02-28	N								N	N						ARLETTAZ, JUAN AUGUSTO	S	S	S	1	Activo
E06592	50300882142334	C.S. PANCHO RAMIREZ	CSA	Centro de salud "A"	06	ENTRE RIOS	088	San Salvador	020	San Salvador		3218	AV.MALARIN 1090 - SAN SALVADOR	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	S	S	210	BERHARDT, HERNAN	2013-12-17	2013-12-17	2014-12-17	N								N	N						TORRES, LORENZO	S	S	S	1	Activo
E06593	10300882142045	HOSPITAL GENERAL CAMPOS	HOS	Hospital	06	ENTRE RIOS	088	San Salvador	010	General Campos		3216	CEPEDA Nº 526	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	S	S	200	Andini Angel Claudio	2013-06-03	2013-06-03	2014-06-03	N								N	N						DR. ANDINI, ANGEL CLAUDIO	S	S	S	1	Activo
E06594	10301132142079	HOSPITAL SANTA ROSA	HOS	Hospital	06	ENTRE RIOS	113	Villaguay	080	Villaguay		3240	J.SAN MARTIN 1867 - VILLAGUAY	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	S	S	177	Gonzalo Eduardp Carril	2013-02-28	2013-02-28	2014-02-28	N								N	S	S	S	2013-09-20	II	II	CARRIL, GONZALO	S	S	S	1	Activo
E06595	10301132142053	HOSPITAL DR. NOE YARCHO	HOS	Hospital	06	ENTRE RIOS	113	Villaguay	070	Villa Domínguez		3246	YARCHO S/N - VILLA DOMINGUEZ -VILLAGUAY	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	S	S	57	HERNANDEZ, RUBÉN DARÍO	2013-07-25	2013-07-25	2014-07-25	N								N	N						GONZALEZ, RAMON ROBERTO	S	S	S	1	Activo
E06596	10301132142046	HOSPITAL GRAL. JOSÉ DE SAN MARTIN	HOS	Hospital	06	ENTRE RIOS	113	Villaguay	060	Villa Clara		3252	SOBERANIA 436	N	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	S	S	257	FERNANDEZ, SILVIA	2013-07-25	2013-07-25	2014-07-25	N								N	N						FERNANDEZ, SILVIA	S	S	S	1	Activo
E06597	50301132142220	C.S. DR. ANTONIO PASCUAL VUOTO	CSA	Centro de salud "A"	06	ENTRE RIOS	113	Villaguay	010	Estación Raíces		3177	RUTA 18- KM. ESTACION RAICES	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	S	N		GUIDO, JORGE ALBERTO	2008-08-20	2008-08-20	2014-08-20	N								N	N						GUIDO, JORGE ALBERTO	S	S	S	1	Activo
E06598	50301132142484	C.S. MARIO JOSE TORRES	CSA	Centro de salud "A"	06	ENTRE RIOS	113	Villaguay	020	Ingeniero Miguel Sajaroff		3246	INGENIERO SAJAROFF	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	N	N														N	N						DR. CARRIL GONZALO-	S	S	S	1	Activo
E06599	50301132142328	C.S. DELUCCHI	CSA	Centro de salud "A"	06	ENTRE RIOS	113	Villaguay	010	Estación Raíces		3241	RUTA 18 KM. 98 1/2- RAICES OESTE	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	S	N		GUIDO, JORGE ALBERTO	2008-08-20	2008-08-20	2014-08-20	N								N	N						GUIDO, JORGE ALBERTO	S	S	S	1	Activo
E06600	50301132142506	C.S. TULIO GONZALEZ	CSA	Centro de salud "A"	06	ENTRE RIOS	113	Villaguay	030	Jubileo		3241	BALCARCE 576-JUBILEO	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	N	N														N	N						DR.MONTENEGRO OSVALDO	S	S	S	1	Activo
E06602	50301132142239	C.S. DR. HECTOR ENRIQUE TORRA	CSA	Centro de salud "A"	06	ENTRE RIOS	113	Villaguay	050	Paso de la Laguna		3241	PASO DE LA LAGUNA	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	N	N														N	N						DR. CARRIL GONZALO	S	S	S	1	Activo
E06603	50301132142476	C.S.VILLANUEVA	CSA	Centro de salud "A"	06	ENTRE RIOS	113	Villaguay	010	Estación Raíces		3241	PARAJE LAGUNA LARGA-LUCAS SUR	S	N	SD	Sin especificar	P	Provincial	6	REGIÓN II	N	N														N	N						ENF.CUELLO Mª TERESA	S	S	S	1	Activo
